comparison,half_life,group
OS_vs_Ctrl,18.92913814,group_1
OS_vs_Ctrl,18.88993243,group_1
OS_vs_Ctrl,18.87398722,group_1
OS_vs_Ctrl,18.79619222,group_1
OS_vs_Ctrl,18.79619222,group_1
OS_vs_Ctrl,18.75728092,group_1
OS_vs_Ctrl,18.7185304,group_1
OS_vs_Ctrl,18.70287312,group_1
OS_vs_Ctrl,18.68774583,group_1
OS_vs_Ctrl,18.68774583,group_1
OS_vs_Ctrl,18.67239149,group_1
OS_vs_Ctrl,18.65706235,group_1
OS_vs_Ctrl,18.64175837,group_1
OS_vs_Ctrl,18.64175837,group_1
OS_vs_Ctrl,18.61097574,group_1
OS_vs_Ctrl,18.58054364,group_1
OS_vs_Ctrl,18.51997704,group_1
OS_vs_Ctrl,18.41493021,group_1
OS_vs_Ctrl,18.40735024,group_1
OS_vs_Ctrl,18.31106833,group_1
OS_vs_Ctrl,18.28160835,group_1
OS_vs_Ctrl,18.25224301,group_1
OS_vs_Ctrl,18.10682011,group_1
OS_vs_Ctrl,18.04929773,group_1
OS_vs_Ctrl,17.97767353,group_1
OS_vs_Ctrl,17.89274841,group_1
OS_vs_Ctrl,17.86461806,group_1
OS_vs_Ctrl,17.85035617,group_1
OS_vs_Ctrl,17.81548772,group_1
OS_vs_Ctrl,17.78782782,group_1
OS_vs_Ctrl,17.76685456,group_1
OS_vs_Ctrl,17.76662687,group_1
OS_vs_Ctrl,17.75979863,group_1
OS_vs_Ctrl,17.73911837,group_1
OS_vs_Ctrl,17.72505608,group_1
OS_vs_Ctrl,17.69767606,group_1
OS_vs_Ctrl,17.64271993,group_1
OS_vs_Ctrl,17.58788091,group_1
OS_vs_Ctrl,17.56092272,group_1
OS_vs_Ctrl,17.54048082,group_1
OS_vs_Ctrl,17.49973947,group_1
OS_vs_Ctrl,17.49311479,group_1
OS_vs_Ctrl,17.40613682,group_1
OS_vs_Ctrl,17.39914606,group_1
OS_vs_Ctrl,17.37254519,group_1
OS_vs_Ctrl,17.33301277,group_1
OS_vs_Ctrl,17.33301277,group_1
OS_vs_Ctrl,17.28029469,group_1
OS_vs_Ctrl,17.28029469,group_1
OS_vs_Ctrl,17.24075168,group_1
OS_vs_Ctrl,17.22768223,group_1
OS_vs_Ctrl,17.20181612,group_1
OS_vs_Ctrl,17.20160267,group_1
OS_vs_Ctrl,17.09785843,group_1
OS_vs_Ctrl,17.07217016,group_1
OS_vs_Ctrl,17.0210245,group_1
OS_vs_Ctrl,16.99556641,group_1
OS_vs_Ctrl,16.94487803,group_1
OS_vs_Ctrl,16.91964705,group_1
OS_vs_Ctrl,16.86940983,group_1
OS_vs_Ctrl,16.82559425,group_1
OS_vs_Ctrl,16.78850923,group_1
OS_vs_Ctrl,16.65898819,group_1
OS_vs_Ctrl,16.65898819,group_1
OS_vs_Ctrl,16.64698546,group_1
OS_vs_Ctrl,16.58623803,group_1
OS_vs_Ctrl,16.45414187,group_1
OS_vs_Ctrl,16.43035012,group_1
OS_vs_Ctrl,16.43035012,group_1
OS_vs_Ctrl,16.38277882,group_1
OS_vs_Ctrl,16.38258522,group_1
OS_vs_Ctrl,16.38258522,group_1
OS_vs_Ctrl,16.32394095,group_1
OS_vs_Ctrl,16.31203211,group_1
OS_vs_Ctrl,16.30627601,group_1
OS_vs_Ctrl,16.20733455,group_1
OS_vs_Ctrl,16.1957844,group_1
OS_vs_Ctrl,16.17273339,group_1
OS_vs_Ctrl,16.05845567,group_1
OS_vs_Ctrl,16.03579365,group_1
OS_vs_Ctrl,15.96818975,group_1
OS_vs_Ctrl,15.9457816,group_1
OS_vs_Ctrl,15.84553723,group_1
OS_vs_Ctrl,15.83467768,group_1
OS_vs_Ctrl,15.81264242,group_1
OS_vs_Ctrl,15.79066841,group_1
OS_vs_Ctrl,15.77952468,group_1
OS_vs_Ctrl,15.72475455,group_1
OS_vs_Ctrl,15.64913599,group_1
OS_vs_Ctrl,15.53131777,group_1
OS_vs_Ctrl,15.44686517,group_1
OS_vs_Ctrl,15.44686517,group_1
OS_vs_Ctrl,15.43637312,group_1
OS_vs_Ctrl,15.36332603,group_1
OS_vs_Ctrl,15.3373202,group_1
OS_vs_Ctrl,15.30109338,group_1
OS_vs_Ctrl,15.29079836,group_1
OS_vs_Ctrl,15.24472553,group_1
OS_vs_Ctrl,15.23969792,group_1
OS_vs_Ctrl,15.19892952,group_1
OS_vs_Ctrl,15.19892952,group_1
OS_vs_Ctrl,15.08776867,group_1
OS_vs_Ctrl,15.05761477,group_1
OS_vs_Ctrl,15.01781347,group_1
OS_vs_Ctrl,15.007896,group_1
OS_vs_Ctrl,14.99799162,group_1
OS_vs_Ctrl,14.93883878,group_1
OS_vs_Ctrl,14.84128084,group_1
OS_vs_Ctrl,14.84112196,group_1
OS_vs_Ctrl,14.82192196,group_1
OS_vs_Ctrl,14.82192196,group_1
OS_vs_Ctrl,14.80735683,group_1
OS_vs_Ctrl,14.78335531,group_1
OS_vs_Ctrl,14.77374499,group_1
OS_vs_Ctrl,14.76414715,group_1
OS_vs_Ctrl,14.72588019,group_1
OS_vs_Ctrl,14.7161882,group_1
OS_vs_Ctrl,14.66885024,group_1
OS_vs_Ctrl,14.66885024,group_1
OS_vs_Ctrl,14.6499383,group_1
OS_vs_Ctrl,14.6499383,group_1
OS_vs_Ctrl,14.64978348,group_1
OS_vs_Ctrl,14.62150742,group_1
OS_vs_Ctrl,14.61195229,group_1
OS_vs_Ctrl,14.59334029,group_1
OS_vs_Ctrl,14.59318667,group_1
OS_vs_Ctrl,14.53717792,group_1
OS_vs_Ctrl,14.48159745,group_1
OS_vs_Ctrl,14.45396629,group_1
OS_vs_Ctrl,14.3354397,group_1
OS_vs_Ctrl,14.31737716,group_1
OS_vs_Ctrl,14.28138829,group_1
OS_vs_Ctrl,14.24557989,group_1
OS_vs_Ctrl,14.21884121,group_1
OS_vs_Ctrl,14.2099506,group_1
OS_vs_Ctrl,14.19220271,group_1
OS_vs_Ctrl,14.12165228,group_1
OS_vs_Ctrl,14.08649631,group_1
OS_vs_Ctrl,13.96516865,group_1
OS_vs_Ctrl,13.90549442,group_1
OS_vs_Ctrl,13.82920036,group_1
OS_vs_Ctrl,13.81239026,group_1
OS_vs_Ctrl,13.70397747,group_1
OS_vs_Ctrl,13.67113755,group_1
OS_vs_Ctrl,13.66291848,group_1
OS_vs_Ctrl,13.6545748,group_1
OS_vs_Ctrl,13.63014081,group_1
OS_vs_Ctrl,13.59725328,group_1
OS_vs_Ctrl,13.57701174,group_1
OS_vs_Ctrl,13.55683038,group_1
OS_vs_Ctrl,13.54861573,group_1
OS_vs_Ctrl,13.51651532,group_1
OS_vs_Ctrl,13.50032488,group_1
OS_vs_Ctrl,13.46439745,group_1
OS_vs_Ctrl,13.4603447,group_1
OS_vs_Ctrl,13.42060061,group_1
OS_vs_Ctrl,13.39686662,group_1
OS_vs_Ctrl,13.34181242,group_1
OS_vs_Ctrl,13.32616566,group_1
OS_vs_Ctrl,13.2639439,group_1
OS_vs_Ctrl,13.0804699,group_1
OS_vs_Ctrl,13.06542978,group_1
OS_vs_Ctrl,13.06542978,group_1
OS_vs_Ctrl,13.06542978,group_1
OS_vs_Ctrl,13.03545305,group_1
OS_vs_Ctrl,12.9611096,group_1
OS_vs_Ctrl,12.9611096,group_1
OS_vs_Ctrl,12.94634256,group_1
