ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,ctrl_log_10_HL,os_log_10_HL,rs_uniprot,group_3,rs_half_life,rs_log_10_HL
Q91VR2,ctrl,24.85957789,1.39549375,Q9DCF9,iso,0.917980898,1.39549375,-0.037166356,P03911,CaNrf2-TG,39.26957003,1.594056146
Q925I1,ctrl,24.71773845,1.393008732,Q9ESB3,iso,0.922754283,1.393008732,-0.03491393,P00920,CaNrf2-TG,39.2007228,1.593294075
Q9CQ75,ctrl,24.58404613,1.390653362,Q8K0E8,iso,0.930008796,1.390653362,-0.031512944,P47934,CaNrf2-TG,39.13432591,1.592557858
Q06185,ctrl,24.45179224,1.388310697,P42227,iso,0.944864844,1.388310697,-0.02463031,P56391,CaNrf2-TG,38.73196136,1.58806949
Q8CHT0,ctrl,24.35941594,1.386666871,P97290,iso,0.948653151,1.386666871,-0.022892546,P56379,CaNrf2-TG,38.60146357,1.586603771
Q9CPU2,ctrl,24.35941594,1.386666871,Q9CS72,iso,0.948653801,1.386666871,-0.022892249,Q9CQ54,CaNrf2-TG,38.21098019,1.582188178
P56135,ctrl,24.20375657,1.383882776,Q61247,iso,0.950559697,1.383882776,-0.022020603,Q78IK4,CaNrf2-TG,38.21098019,1.582188178
Q9CQ54,ctrl,24.20375657,1.383882776,P55284,iso,0.959554546,1.383882776,-0.017930333,P47915,CaNrf2-TG,38.08291745,1.580730211
Q5SUC9,ctrl,24.05007392,1.381116416,Q61656,iso,0.968061698,1.381116416,-0.014096963,P12787,CaNrf2-TG,37.95571025,1.579277123
P05202,ctrl,23.84817411,1.377455134,Q9CY50,iso,0.976049179,1.377455134,-0.0105283,Q9CQQ7,CaNrf2-TG,37.70382836,1.57638545
Q9D6R2,ctrl,23.84817411,1.377455134,P19221,iso,0.978740814,1.377455134,-0.009332301,Q99LY9,CaNrf2-TG,37.70382836,1.57638545
Q9WUM5,ctrl,23.79822772,1.376544616,Q91ZB0,iso,0.984168867,1.376544616,-0.006930377,Q9CPQ1,CaNrf2-TG,37.64240146,1.575677322
P08249,ctrl,23.62464828,1.373365352,Q91ZP3,iso,0.985450532,1.373365352,-0.006365172,Q99L13,CaNrf2-TG,37.64240146,1.575677322
Q9CQC7,ctrl,23.60051687,1.372921515,O88947,iso,1.018048055,1.372921515,0.007768278,Q9WUM5,CaNrf2-TG,37.51811532,1.574241014
Q9DB77,ctrl,23.44208129,1.369996168,Q3UIJ9,iso,1.023922164,1.369996168,0.010266944,P51881,CaNrf2-TG,36.8479709,1.566413578
Q9CZU6,ctrl,23.29789021,1.367316594,Q8VCN9,iso,1.041959943,1.367316594,0.017851023,P42125,CaNrf2-TG,36.78832262,1.565709986
Q9WV98,ctrl,23.21440061,1.365757475,Q99K51,iso,1.051218473,1.365757475,0.021692984,Q9CPQ8,CaNrf2-TG,36.61053085,1.563606026
Q9D051,ctrl,23.19071165,1.365314076,P50518,iso,1.056696065,1.365314076,0.02395009,Q8BK08,CaNrf2-TG,36.37613123,1.560816508
Q9D855,ctrl,23.12031957,1.363993833,Q3UZA1,iso,1.060841867,1.363993833,0.025650651,Q60759,CaNrf2-TG,36.26005339,1.559428439
Q9DCJ5,ctrl,22.81815784,1.35828058,Q4U4S6,iso,1.063823011,1.35828058,0.02686938,P01942,CaNrf2-TG,36.08637966,1.557343314
Q9WTP6,ctrl,22.81815784,1.35828058,P23953,iso,1.069030651,1.35828058,0.028990158,Q61941,CaNrf2-TG,35.97214077,1.555966284
Q9CPQ8,ctrl,22.73806523,1.356753508,Q9DCL9,iso,1.080010004,1.356753508,0.033427778,Q9DB77,CaNrf2-TG,35.80305685,1.553920108
Q8JZN5,ctrl,22.72650963,1.356532741,Q9WVR4,iso,1.086207747,1.356532741,0.035912896,Q9CQH3,CaNrf2-TG,35.80305685,1.553920108
P48962,ctrl,22.61344058,1.354366644,O70492,iso,1.086623233,1.354366644,0.036078986,O09111,CaNrf2-TG,35.69060195,1.552553873
P51881,ctrl,22.60237978,1.354154168,P29699,iso,1.08912455,1.354154168,0.037077547,P19783,CaNrf2-TG,35.57885128,1.551191922
P03899,ctrl,22.54613758,1.353072153,G5E870,iso,1.089960311,1.353072153,0.037410684,P43274,CaNrf2-TG,35.35743627,1.548480767
Q9CZ13,ctrl,22.54613758,1.353072153,P06728,iso,1.11741611,1.353072153,0.048214928,P48962,CaNrf2-TG,35.24596667,1.547109426
Q8BH59,ctrl,22.52379218,1.352641512,O08677,iso,1.122718281,1.352641512,0.050270794,Q569Z6,CaNrf2-TG,35.00213001,1.544094474
Q9DCX2,ctrl,22.39064446,1.350066594,Q9QZF2,iso,1.147216696,1.350066594,0.059645459,Q9R0X4,CaNrf2-TG,34.97475493,1.54375468
Q9Z0X1,ctrl,22.36860607,1.349638921,Q91W50,iso,1.153743511,1.349638921,0.062109272,Q9ES82,CaNrf2-TG,34.92101267,1.543086829
P56391,ctrl,22.26978893,1.347716101,P15105,iso,1.167022503,1.347716101,0.06707923,P09671,CaNrf2-TG,34.86743533,1.542420004
O08749,ctrl,22.21554375,1.346656948,Q61730,iso,1.167022503,1.346656948,0.06707923,Q8K370,CaNrf2-TG,34.81402213,1.541754201
P40630,ctrl,22.04316046,1.343273862,P11276,iso,1.170871558,1.343273862,0.068509256,O55126,CaNrf2-TG,34.76077233,1.541089417
Q4VAE3,ctrl,22.04280996,1.343266956,P32067,iso,1.190510197,1.343266956,0.07573312,O08756,CaNrf2-TG,34.68163617,1.540099578
Q9JLT4,ctrl,21.91561846,1.340753731,Q61147,iso,1.193513316,1.340753731,0.076827269,Q9CQJ8,CaNrf2-TG,34.60199583,1.53910115
Q9CQQ7,ctrl,21.84172619,1.339286958,Q3THK7,iso,1.217049082,1.339286958,0.085308093,Q91VT4,CaNrf2-TG,34.54939218,1.538440411
Q9JI39,ctrl,21.83140726,1.339081731,Q9ERP3,iso,1.221235795,1.339081731,0.086799525,Q9D0L4,CaNrf2-TG,34.49694822,1.537780677
P50171,ctrl,21.76833052,1.337825123,Q9Z1R2,iso,1.231834618,1.337825123,0.090552405,Q9D2G2,CaNrf2-TG,34.34056729,1.535807465
Q61425,ctrl,21.76833052,1.337825123,Q61595,iso,1.240445285,1.337825123,0.093577613,Q8BKZ9,CaNrf2-TG,34.08305948,1.532538572
O08756,ctrl,21.72670848,1.336993937,Q8VDJ3,iso,1.240445285,1.336993937,0.093577613,Q9WUR2,CaNrf2-TG,34.08305948,1.532538572
Q61001,ctrl,21.66423443,1.335743347,Q61151,iso,1.246983822,1.335743347,0.095860819,P97478,CaNrf2-TG,34.03285612,1.531898398
Q9CPQ1,ctrl,21.58194042,1.334090489,Q91X72,iso,1.251380524,1.334090489,0.097389392,Q7TQ48,CaNrf2-TG,33.98113445,1.531237874
Q91VT4,ctrl,21.56179987,1.333685011,Q61191,iso,1.25580834,1.333685011,0.098923363,Q9D1H6,CaNrf2-TG,33.93123069,1.530599612
P02463,ctrl,21.54102743,1.333266414,P20918,iso,1.264758644,1.333266414,0.102007656,Q91VR2,CaNrf2-TG,33.87981722,1.529941059
Q9JLZ3,ctrl,21.50026926,1.332443899,Q91ZU6,iso,1.271555546,1.332443899,0.104335337,Q9D3D9,CaNrf2-TG,33.77910237,1.528648105
P51174,ctrl,21.41921389,1.330803528,P07759,iso,1.281890768,1.330803528,0.10785102,Q9D6J5,CaNrf2-TG,33.72814854,1.527992502
P24472,ctrl,21.39904545,1.330394401,O70548,iso,1.289458599,1.330394401,0.110407403,P56392,CaNrf2-TG,33.62914783,1.526715862
P61255,ctrl,21.34895451,1.329376612,Q76LL6,iso,1.301875543,1.329376612,0.114569469,Q99KI0,CaNrf2-TG,33.57945841,1.526073687
P48772,ctrl,21.29909753,1.328361202,Q61703,iso,1.307872989,1.328361202,0.11656557,Q9QXX4,CaNrf2-TG,33.43046111,1.524142367
P56480,ctrl,21.23938044,1.327141844,O89017,iso,1.313925948,1.327141844,0.118570889,Q9DC69,CaNrf2-TG,33.3821605,1.523514441
Q8CAQ8,ctrl,21.22897248,1.326928974,Q9DAW9,iso,1.323727077,1.326928974,0.121798453,Q9DCJ5,CaNrf2-TG,33.28437842,1.522240451
Q9CR68,ctrl,21.12062345,1.324706734,Q91VW5,iso,1.32744094,1.324706734,0.123015208,P17710,CaNrf2-TG,33.28437842,1.522240451
P42125,ctrl,21.0424001,1.323095274,Q01815,iso,1.32868268,1.323095274,0.123421274,Q9Z2Z6,CaNrf2-TG,33.09052277,1.519703628
Q9CQ91,ctrl,20.9261455,1.320689241,Q80XB4,iso,1.32868268,1.320689241,0.123421274,Q9D1I2,CaNrf2-TG,33.0180146,1.518750955
Q60932,ctrl,20.90689451,1.320289528,Q8CCF0,iso,1.329929298,1.320289528,0.123828553,Q3UIU2,CaNrf2-TG,32.99443929,1.518440752
P97807,ctrl,20.88736419,1.319883639,Q9CRA5,iso,1.338708624,1.319883639,0.126686061,Q8R404,CaNrf2-TG,32.89891217,1.517181538
P99028,ctrl,20.8490399,1.319086061,Q7TPV4,iso,1.346324674,1.319086061,0.129149805,P00416,CaNrf2-TG,32.61562114,1.513425654
Q61941,ctrl,20.83024344,1.318694345,O35143,iso,1.351451245,1.318694345,0.130800383,O08749,CaNrf2-TG,32.42793827,1.510919338
Q9QXX4,ctrl,20.79212828,1.317898946,Q9QYS9,iso,1.351451245,1.317898946,0.130800383,Q91WS0,CaNrf2-TG,32.33565873,1.509681713
Q07417,ctrl,20.79181644,1.317892432,Q61704,iso,1.372356706,1.317892432,0.137467009,Q9D6U8,CaNrf2-TG,32.33565873,1.509681713
