ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,ctrl_log_10_HL,os_log_10_HL,rs_uniprot,group_3,rs_half_life,rs_log_10_HL
P70296,ctrl,11.21960474,1.049977557,P26638,iso,2.631748091,1.049977557,0.420244317,Q64727,CaNrf2-TG,16.4064329,1.215014167
P56380,ctrl,11.20853771,1.049548957,Q8BUV3,iso,2.63663336,1.049548957,0.421049743,Q91YM4,CaNrf2-TG,16.38277882,1.214387568
Q8VDC0,ctrl,11.20853771,1.049548957,P42703,iso,2.637857512,1.049548957,0.421251333,Q9DCV4,CaNrf2-TG,16.38258522,1.214382436
Q9JKB1,ctrl,11.18646903,1.048693025,P70698,iso,2.641546865,1.048693025,0.42185832,Q8CG76,CaNrf2-TG,16.3589998,1.213756747
Q9R0Y5,ctrl,11.18646903,1.048693025,Q6P2B1,iso,2.646468614,1.048693025,0.422666748,Q91VN4,CaNrf2-TG,16.33567469,1.213137076
Q9CQS8,ctrl,11.17546725,1.04826569,P06684,iso,2.647701918,1.04826569,0.42286909,Q6P3A8,CaNrf2-TG,16.3354822,1.213131959
Q9JLJ2,ctrl,11.17546725,1.04826569,P47941,iso,2.651408737,1.04826569,0.423476683,P59999,CaNrf2-TG,16.28864926,1.211885072
P41105,ctrl,11.16448708,1.047838776,P35282,iso,2.656367338,1.047838776,0.424288132,Q9D0Q7,CaNrf2-TG,16.28864926,1.211885072
Q8BGC4,ctrl,11.13167567,1.046560544,Q3UIZ8,iso,2.66135474,1.046560544,0.425102767,P27659,CaNrf2-TG,16.1957844,1.209401987
Q9D0F9,ctrl,11.11534218,1.045922837,Q99JX3,iso,2.66135474,1.045922837,0.425102767,O70325,CaNrf2-TG,16.17273339,1.208783427
Q9D1P0,ctrl,11.09905655,1.045286064,P07934,iso,2.68146192,1.045286064,0.428371634,Q9D7J4,CaNrf2-TG,16.16123248,1.208474478
Q3TJD7,ctrl,11.07741647,1.044438484,Q9ESL4,iso,2.699307911,1.044438484,0.431252428,Q9DCS3,CaNrf2-TG,16.16123248,1.208474478
P58389,ctrl,11.06115344,1.043800417,Q8R311,iso,2.701875243,1.043800417,0.431665292,O08709,CaNrf2-TG,16.14974792,1.208165748
O70250,ctrl,11.02368365,1.042326742,Q9CR09,iso,2.707024587,1.042326742,0.4324922,P11531,CaNrf2-TG,16.10397241,1.206933018
P21300,ctrl,11.02368365,1.042326742,P56695,iso,2.708320282,1.042326742,0.432700022,Q8VCW8,CaNrf2-TG,16.08118183,1.206317963
Q9DCU6,ctrl,11.02368365,1.042326742,Q68EF0,iso,2.726526779,1.042326742,0.435609768,Q64105,CaNrf2-TG,16.06422426,1.205859758
Q05920,ctrl,10.9916063,1.041061164,Q62446,iso,2.72783048,1.041061164,0.435817378,P45376,CaNrf2-TG,16.05845567,1.205703777
P11352,ctrl,10.99151915,1.041057721,Q9Z1Q5,iso,2.735722131,1.041057721,0.437071984,Q61292,CaNrf2-TG,16.03579365,1.205090459
P52503,ctrl,10.99151915,1.041057721,Q3TZZ7,iso,2.738359232,1.041057721,0.43749042,Q9CZX8,CaNrf2-TG,16.03579365,1.205090459
P62245,ctrl,10.97038278,1.040221781,Q91VH2,iso,2.741001422,1.040221781,0.437909261,Q8BT60,CaNrf2-TG,16.03579365,1.205090459
Q9DAK9,ctrl,10.97029597,1.040218345,Q9CQC9,iso,2.741001422,1.040218345,0.437909261,Q8R104,CaNrf2-TG,16.03579365,1.205090459
Q9Z1Q9,ctrl,10.97029597,1.040218345,Q9R0H0,iso,2.743648716,1.040218345,0.438328505,P14152,CaNrf2-TG,15.9737096,1.203405785
Q80UM3,ctrl,10.95971509,1.039799264,Q9R0M4,iso,2.743648716,1.039799264,0.438328505,Q8BHC4,CaNrf2-TG,15.96818975,1.203255685
P51667,ctrl,10.94915459,1.039380588,Q9WTQ8,iso,2.743648716,1.039380588,0.438328505,Q99MQ4,CaNrf2-TG,15.91210442,1.20172762
Q80UW5,ctrl,10.88621656,1.036876969,O70305,iso,2.746301128,1.036876969,0.438748155,P02468,CaNrf2-TG,15.8898533,1.201119888
Q9CR24,ctrl,10.87588249,1.036464506,Q99L45,iso,2.746301128,1.036464506,0.438748155,Q99LX0,CaNrf2-TG,15.85677443,1.200214848
O55023,ctrl,10.8653977,1.036045627,Q9D666,iso,2.746970476,1.036045627,0.438853992,P62717,CaNrf2-TG,15.84571835,1.199911932
Q60866,ctrl,10.84465831,1.035215873,P62141,iso,2.750294832,1.035215873,0.439379253,P04247,CaNrf2-TG,15.82347176,1.199301776
P19157,ctrl,10.83431828,1.03480159,Q8BMJ2,iso,2.756973226,1.03480159,0.440432549,Q91Z53,CaNrf2-TG,15.76301777,1.197639365
Q9CPY7,ctrl,10.83423361,1.034798196,Q9R111,iso,2.756973226,1.034798196,0.440432549,Q9CQX2,CaNrf2-TG,15.73564242,1.196884478
P23506,ctrl,10.82399795,1.034387701,Q71FD7,iso,2.759651476,1.034387701,0.440854237,Q9ERI6,CaNrf2-TG,15.71405986,1.196288403
P56376,ctrl,10.79315458,1.033148397,Q99JB8,iso,2.765023618,1.033148397,0.441698845,Q6NVE9,CaNrf2-TG,15.70302396,1.195983293
Q8BFP9,ctrl,10.79315458,1.033148397,P24452,iso,2.767723065,1.033148397,0.442122633,P14206,CaNrf2-TG,15.65991936,1.194789521
Q99LX0,ctrl,10.78794715,1.03293881,Q69ZS7,iso,2.773132256,1.03293881,0.442970582,P10637,CaNrf2-TG,15.65974246,1.194784615
Q8VE38,ctrl,10.77268981,1.032324155,P83741,iso,2.775842009,1.032324155,0.443394744,P06745,CaNrf2-TG,15.63819106,1.194186515
P24527,ctrl,10.76750211,1.032114965,Q80TV8,iso,2.775842009,1.032114965,0.443394744,Q9D0K2,CaNrf2-TG,15.6166989,1.193589237
P70349,ctrl,10.7624865,1.03191262,Q9QZE7,iso,2.775842009,1.03191262,0.443394744,P12970,CaNrf2-TG,15.6166989,1.193589237
Q8JZQ2,ctrl,10.7624865,1.03191262,P11688,iso,2.781277433,1.03191262,0.444244312,Q8K411,CaNrf2-TG,15.60597495,1.193290906
Q8R574,ctrl,10.74213775,1.031090717,Q505F5,iso,2.781277433,1.031090717,0.444244312,P38060,CaNrf2-TG,15.57389131,1.192397139
Q8BH64,ctrl,10.67135481,1.02821956,Q6A0A9,iso,2.784003135,1.02821956,0.44466972,Q9D6S7,CaNrf2-TG,15.56322606,1.192099626
Q9WVH9,ctrl,10.67135481,1.02821956,P47811,iso,2.786745389,1.02821956,0.445097291,P49817,CaNrf2-TG,15.5525754,1.191802316
Q9DBP5,ctrl,10.65134889,1.027404611,Q99LF4,iso,2.786745389,1.027404611,0.445097291,A2ASS6,CaNrf2-TG,15.51011816,1.190615106
Q8R2Z5,ctrl,10.64137404,1.026997709,P51163,iso,2.788107328,1.026997709,0.445309488,P38647,CaNrf2-TG,15.48897635,1.190022717
Q9D7J4,ctrl,10.59185961,1.024972216,P14211,iso,2.792223639,1.024972216,0.445950199,Q8VCL2,CaNrf2-TG,15.48897635,1.190022717
P62892,ctrl,10.59177868,1.024968898,Q9WVG6,iso,2.794970849,1.024968898,0.446377283,Q9JI75,CaNrf2-TG,15.47842704,1.189726824
Q91VS7,ctrl,10.54264348,1.02294952,P70414,iso,2.797729116,1.02294952,0.446805663,Q9WU79,CaNrf2-TG,15.45719913,1.189130802
Q9D0K2,ctrl,10.54264348,1.02294952,Q8CIG8,iso,2.80324501,1.02294952,0.447661058,P05201,CaNrf2-TG,15.41543174,1.187955693
Q9EQI8,ctrl,10.5231168,1.022144391,Q9Z1T2,iso,2.80324501,1.022144391,0.447661058,Q9D880,CaNrf2-TG,15.40498234,1.187661205
Q9QY76,ctrl,10.50843954,1.02153823,Q64012,iso,2.808799769,1.02153823,0.448520781,O09167,CaNrf2-TG,15.38412599,1.187072828
Q80W21,ctrl,10.48911861,1.020738996,Q78PY7,iso,2.808799769,1.020738996,0.448520781,P62880,CaNrf2-TG,15.34258224,1.18589846
Q99NB1,ctrl,10.48427965,1.020538597,Q9D6K5,iso,2.808799769,1.020538597,0.448520781,Q9D6Y7,CaNrf2-TG,15.31157138,1.185019763
Q64105,ctrl,10.46251999,1.019636301,P83940,iso,2.819952647,1.019636301,0.450241816,P53986,CaNrf2-TG,15.30126226,1.184727259
O54724,ctrl,10.44564941,1.018935445,Q3TL26,iso,2.825562365,1.018935445,0.451104897,Q8K354,CaNrf2-TG,15.30126226,1.184727259
P05201,ctrl,10.42655847,1.018140983,Q8BP47,iso,2.828387144,1.018140983,0.451538855,Q9WTI7,CaNrf2-TG,15.25999627,1.183554427
Q9D8N0,ctrl,10.42655847,1.018140983,Q922J3,iso,2.829790099,1.018140983,0.451754223,Q9R0Y5,CaNrf2-TG,15.21928642,1.18239429
O55111,ctrl,10.4216987,1.017938513,Q8K482,iso,2.831206012,1.017938513,0.451971472,Q8VCA8,CaNrf2-TG,15.21911934,1.182389522
P43023,ctrl,10.39310243,1.016745208,Q91V92,iso,2.831206012,1.016745208,0.451971472,Q9QX60,CaNrf2-TG,15.17829462,1.181222979
Q8BFZ9,ctrl,10.38827379,1.016543387,Q8K3W2,iso,2.836860637,1.016543387,0.452838001,Q8VDN2,CaNrf2-TG,15.15804716,1.180643254
Q8CC88,ctrl,10.35042379,1.014958132,Q61768,iso,2.838986949,1.014958132,0.453163396,P47963,CaNrf2-TG,15.07775862,1.178336787
Q9WVK4,ctrl,10.33160204,1.014167669,O54774,iso,2.842537895,1.014167669,0.453706263,Q99LP6,CaNrf2-TG,15.07775862,1.178336787
Q9DCA2,ctrl,10.3222168,1.013772977,P54923,iso,2.842537895,1.013772977,0.453706263,Q3UX10,CaNrf2-TG,15.07759463,1.178332063
P62849,ctrl,10.31284861,1.013378642,Q62348,iso,2.845385053,1.013378642,0.454141046,Q9D892,CaNrf2-TG,15.07759463,1.178332063
P60867,ctrl,10.3034974,1.012984666,Q8BJS4,iso,2.846816619,1.012984666,0.454359492,Q8CH40,CaNrf2-TG,15.05777832,1.177760899
Q8BJZ4,ctrl,10.27554525,1.011804876,P62814,iso,2.848243773,1.011804876,0.454577157,P70349,CaNrf2-TG,15.007896,1.176319811
Q9Z2D6,ctrl,10.18794727,1.008086689,P63011,iso,2.848243773,1.008086689,0.454577157,P09411,CaNrf2-TG,14.99799162,1.176033107
O70622,ctrl,10.17433882,1.007506196,Q9CQY6,iso,2.848249625,1.007506196,0.454578049,O35857,CaNrf2-TG,14.97822202,1.175460264
P27659,ctrl,10.16978587,1.007311809,Q52KR3,iso,2.853972605,1.007311809,0.4554498,P07310,CaNrf2-TG,14.91922472,1.173746256
O09131,ctrl,10.15600265,1.006722805,Q6PCP5,iso,2.856842728,1.006722805,0.455886333,P10649,CaNrf2-TG,14.91922472,1.173746256
P06745,ctrl,10.11982335,1.005172932,P10852,iso,2.859718629,1.005172932,0.456323305,Q64310,CaNrf2-TG,14.91922472,1.173746256
Q91Z53,ctrl,10.09969592,1.004308298,Q4VAA2,iso,2.859718629,1.004308298,0.456323305,Q9ER88,CaNrf2-TG,14.8996621,1.173176419
Q9D338,ctrl,10.09285759,1.004014145,Q9CWX2,iso,2.862600327,1.004014145,0.456760717,Q6PDL0,CaNrf2-TG,14.88015071,1.17260733
Q9WTI7,ctrl,10.0393549,1.001705807,O35737,iso,2.871292265,1.001705807,0.458077401,P09542,CaNrf2-TG,14.86069036,1.172038985
Q8K4Z3,ctrl,10.03499458,1.001517142,P63280,iso,2.871292265,1.001517142,0.458077401,Q61335,CaNrf2-TG,14.86069036,1.172038985
Q63918,ctrl,10.03492194,1.001513998,P54265,iso,2.878566008,1.001513998,0.459176193,P68040,CaNrf2-TG,14.82192196,1.170904522
Q9D880,ctrl,10.03049289,1.001322274,Q62448,iso,2.878566008,1.001322274,0.459176193,Q9WTR5,CaNrf2-TG,14.81226145,1.170621369
Q99N94,ctrl,10.02164651,1.00093908,Q8BRF7,iso,2.880025182,1.00093908,0.459396285,Q8JZQ2,CaNrf2-TG,14.80261352,1.1703384
P62301,ctrl,9.995200735,0.999791521,Q6P549,iso,2.882947971,0.999791521,0.459836805,Q8BWM0,CaNrf2-TG,14.80261352,1.1703384
P42232,ctrl,9.986416467,0.999409674,Q9CWZ7,iso,2.882947971,0.999409674,0.459836805,P62911,CaNrf2-TG,14.78319767,1.169768384
Q9WUA2,ctrl,9.951433256,0.997885635,Q9JLV1,iso,2.882947971,0.997885635,0.459836805,E1U8D0,CaNrf2-TG,14.7161882,1.167795333
P61971,ctrl,9.934033401,0.997125616,P61087,iso,2.885876698,0.997125616,0.460277771,Q8BFZ9,CaNrf2-TG,14.68781108,1.166957078
Q9R111,ctrl,9.925356271,0.996746105,P61979,iso,2.891764105,0.996746105,0.461162863,Q8R146,CaNrf2-TG,14.66885024,1.166396075
O35639,ctrl,9.916694287,0.996366925,P52430,iso,2.897663468,0.996366925,0.462047946,Q9D8E6,CaNrf2-TG,14.6499383,1.165835796
P04117,ctrl,9.916694287,0.996366925,Q62009,iso,2.897663468,0.996366925,0.462047946,Q3V384,CaNrf2-TG,14.6499383,1.165835796
P00329,ctrl,9.907976594,0.995984972,Q3TJZ6,iso,2.903593033,0.995984972,0.462935746,Q3V2A7,CaNrf2-TG,14.6499383,1.165835796
Q9Z2W0,ctrl,9.864897822,0.994092591,Q3UPL0,iso,2.906563878,0.994092591,0.463379872,Q9CZW5,CaNrf2-TG,14.64034598,1.16555134
O35972,ctrl,9.856340996,0.99371572,Q9CQE8,iso,2.909546915,0.99371572,0.463825364,P62702,CaNrf2-TG,14.63107505,1.165276238
P47963,ctrl,9.847799002,0.993339176,Q9CZ04,iso,2.911031561,0.993339176,0.464046914,Q99JW4,CaNrf2-TG,14.63107505,1.165276238
Q8R1G2,ctrl,9.839271801,0.992962958,P10126,iso,2.912529962,0.992962958,0.464270402,Q9CQS4,CaNrf2-TG,14.61195229,1.164708245
P21550,ctrl,9.813778572,0.991836255,Q8R050,iso,2.918514444,0.991836255,0.465161847,P62889,CaNrf2-TG,14.59318667,1.164150138
Q60854,ctrl,9.813778572,0.991836255,Q80X50,iso,2.930563688,0.991836255,0.466951164,Q9R207,CaNrf2-TG,14.55579968,1.16303607
Q9CQ92,ctrl,9.803160679,0.991366121,Q9D0R2,iso,2.936628807,0.991366121,0.467849055,Q8BGY7,CaNrf2-TG,14.49098281,1.161097841
Q9D1B9,ctrl,9.796856351,0.99108674,P60766,iso,2.944244038,0.99108674,0.468973804,P62743,CaNrf2-TG,14.44492983,1.159715437
P62075,ctrl,9.788417106,0.990712467,Q9JK92,iso,2.944244038,0.990712467,0.468973804,Q9R0P3,CaNrf2-TG,14.44477932,1.159710911
Q9JHU2,ctrl,9.72974706,0.98810155,Q8VE88,iso,2.948822128,0.98810155,0.469648577,P82350,CaNrf2-TG,14.42644037,1.159159185
Q8C1A5,ctrl,9.721422989,0.98772984,O35566,iso,2.9488284,0.98772984,0.469649501,Q3UHB1,CaNrf2-TG,14.40814793,1.158608159
Q9JKS4,ctrl,9.721422989,0.98772984,Q6PD03,iso,2.951892581,0.98772984,0.47010055,P19258,CaNrf2-TG,14.38990182,1.158057831
P17182,ctrl,9.713113149,0.987358448,O70571,iso,2.956507117,0.987358448,0.470778929,Q9CXI0,CaNrf2-TG,14.38542214,1.157922611
Q62165,ctrl,9.696536016,0.986616615,P70398,iso,2.965773261,0.986616615,0.472137945,Q9CY16,CaNrf2-TG,14.32625469,1.156132668
Q91XD6,ctrl,9.696536016,0.986616615,Q8BWY3,iso,2.967315858,0.986616615,0.472363778,P61202,CaNrf2-TG,14.31737716,1.155863466
Q3ULJ0,ctrl,9.66348356,0.985133712,O54950,iso,2.976656377,0.985133712,0.473728703,P21981,CaNrf2-TG,14.28138829,1.154770427
P51855,ctrl,9.638824961,0.984024094,Q91W92,iso,2.976656377,0.984024094,0.473728703,P25444,CaNrf2-TG,14.28138829,1.154770427
Q9DB60,ctrl,9.638824961,0.984024094,Q9CYT6,iso,2.976656377,0.984024094,0.473728703,O70622,CaNrf2-TG,14.26346161,1.154224938
Q9D6Y7,ctrl,9.622567008,0.983290944,Q61586,iso,2.984480897,0.983290944,0.474868803,Q9JI39,CaNrf2-TG,14.26346161,1.154224938
P49817,ctrl,9.622500216,0.98328793,O35286,iso,2.986043022,0.98328793,0.475096061,O54724,CaNrf2-TG,14.24557989,1.153680133
Q3UGR5,ctrl,9.614358562,0.982920315,P16675,iso,2.989185073,0.982920315,0.475552805,Q9JMH6,CaNrf2-TG,14.22774294,1.15313601
Q9R112,ctrl,9.606230675,0.982553011,O08810,iso,2.998663998,0.982553011,0.476927806,Q9DBC3,CaNrf2-TG,14.1744991,1.151507721
Q9D7A8,ctrl,9.598116518,0.982186018,O35685,iso,2.998663998,0.982186018,0.476927806,Q9JKS4,CaNrf2-TG,14.16566385,1.151236932
Q3URE1,ctrl,9.581929258,0.98145296,Q63850,iso,3.00183268,0.98145296,0.477386481,Q9JI91,CaNrf2-TG,14.15669503,1.150961876
P21981,ctrl,9.557816379,0.980358683,A6H611,iso,3.005008066,0.980358683,0.477845642,Q9CQE8,CaNrf2-TG,14.14788195,1.150691428
Q9Z1J3,ctrl,9.557750483,0.980355689,P11438,iso,3.009790295,0.980355689,0.478536238,Q9CY64,CaNrf2-TG,14.12165228,1.149885514
Q924M7,ctrl,9.517722556,0.978533041,Q6P9Q6,iso,3.012975999,0.978533041,0.478995672,Q91YV9,CaNrf2-TG,14.10383715,1.149337285
Q3URS9,ctrl,9.501805104,0.977806118,Q99L47,iso,3.012975999,0.977806118,0.478995672,Q60597,CaNrf2-TG,14.05593155,1.147859634
Q99N84,ctrl,9.485940805,0.97708041,O88746,iso,3.013775117,0.97708041,0.479110843,P60904,CaNrf2-TG,14.03416037,1.147186435
O55222,ctrl,9.440528184,0.974996293,Q9Z1Z2,iso,3.014574659,0.974996293,0.479226044,Q99JY3,CaNrf2-TG,14.03416037,1.147186435
Q8R104,ctrl,9.438664169,0.974910534,P24270,iso,3.016181579,0.974910534,0.479457483,Q9Z1T1,CaNrf2-TG,14.03416037,1.147186435
Q8BGY7,ctrl,9.430702194,0.974544031,P26043,iso,3.038779751,0.974544031,0.482699224,Q9CPV4,CaNrf2-TG,13.99110211,1.145851926
Q05793,ctrl,9.422881737,0.97418374,Q9D820,iso,3.039592617,0.97418374,0.482815381,Q9DCA2,CaNrf2-TG,13.98235291,1.145580259
Q9D1I6,ctrl,9.422881737,0.97418374,P18242,iso,3.04039925,0.97418374,0.482930617,Q3UGR5,CaNrf2-TG,13.96516865,1.145046185
Q9JKL4,ctrl,9.415074239,0.973823749,Q62188,iso,3.04039925,0.973823749,0.482930617,P70695,CaNrf2-TG,13.96516865,1.145046185
Q9CY16,ctrl,9.399497994,0.97310466,Q3UMF0,iso,3.050206299,0.97310466,0.484329214,O09161,CaNrf2-TG,13.90535494,1.143182079
Q80X85,ctrl,9.391792809,0.972748503,Q9JIS8,iso,3.050206299,0.972748503,0.484329214,Q7TPR4,CaNrf2-TG,13.89699124,1.142920784
P12367,ctrl,9.391729182,0.972745561,P11983,iso,3.053484906,0.972745561,0.484795777,P52503,CaNrf2-TG,13.88835931,1.142650944
P97443,ctrl,9.383973202,0.972386759,P53994,iso,3.053484906,0.972386759,0.484795777,P16546,CaNrf2-TG,13.88835931,1.142650944
Q8CC35,ctrl,9.376230021,0.972028253,Q9CQV1,iso,3.058416053,0.972028253,0.485496565,O08529,CaNrf2-TG,13.86294361,1.141855457
Q9D009,ctrl,9.376230021,0.972028253,O08579,iso,3.06006331,0.972028253,0.485730412,Q01768,CaNrf2-TG,13.82920036,1.140797069
Q59J78,ctrl,9.360781933,0.971312128,Q9JMH9,iso,3.060887604,0.971312128,0.485847383,P62852,CaNrf2-TG,13.82920036,1.140797069
Q9ER88,ctrl,9.360781933,0.971312128,Q8BVQ5,iso,3.069997832,0.971312128,0.487138069,Q9D1H9,CaNrf2-TG,13.82065241,1.140528545
Q99KR7,ctrl,9.330037966,0.969883411,Q8C5H8,iso,3.069997832,0.969883411,0.487138069,Q9CQ85,CaNrf2-TG,13.79562098,1.139741254
Q8VDT9,ctrl,9.318560979,0.969348851,P46737,iso,3.073319147,0.969348851,0.487607662,Q80ZK0,CaNrf2-TG,13.79562098,1.139741254
P19123,ctrl,9.314741588,0.969170811,Q9Z2X1,iso,3.073319147,0.969170811,0.487607662,Q8BG05,CaNrf2-TG,13.79562098,1.139741254
Q9CY73,ctrl,9.30330218,0.968637127,Q99K48,iso,3.076647657,0.968637127,0.488077763,Q9DC61,CaNrf2-TG,13.74555656,1.138162329
P16858,ctrl,9.299495285,0.968459379,Q9D1D4,iso,3.076647657,0.968459379,0.488077763,P15626,CaNrf2-TG,13.72894907,1.137637294
Q9CZ30,ctrl,9.295629173,0.96827879,Q61035,iso,3.083326352,0.96827879,0.489019495,Q8VDK1,CaNrf2-TG,13.72894907,1.137637294
P14148,ctrl,9.291890834,0.968104099,P57776,iso,3.086676585,0.968104099,0.489491127,Q9CZ30,CaNrf2-TG,13.69585419,1.136589124
O35857,ctrl,9.26915192,0.96704,Q9D4H8,iso,3.088361313,0.96704,0.489728104,Q9DBJ1,CaNrf2-TG,13.69585419,1.136589124
P42925,ctrl,9.26915192,0.96704,P49813,iso,3.091722502,0.96704,0.490200507,Q9CQV4,CaNrf2-TG,13.69585419,1.136589124
Q8BHC4,ctrl,9.26915192,0.96704,P68510,iso,3.093412745,0.96704,0.49043787,Q59J78,CaNrf2-TG,13.66291848,1.135543477
Q62426,ctrl,9.269089944,0.967037096,Q64010,iso,3.093412745,0.967037096,0.49043787,P70404,CaNrf2-TG,13.6381863,1.134756619
Q9CYR0,ctrl,9.265310991,0.966860001,Q9QXG4,iso,3.093412745,0.966860001,0.49043787,Q9WUA2,CaNrf2-TG,13.62183709,1.134235682
Q9ET78,ctrl,9.261596993,0.966685879,Q9WUA2,iso,3.112484477,0.966685879,0.493107194,Q8BVI4,CaNrf2-TG,13.59725328,1.133451187
A2ASQ1,ctrl,9.257762322,0.966506027,Q9DBG5,iso,3.115471258,0.966506027,0.493523749,P60867,CaNrf2-TG,13.56478954,1.13241306
P62242,ctrl,9.239005926,0.965625246,E9Q557,iso,3.117187574,0.965625246,0.493762936,Q9D1H8,CaNrf2-TG,13.55683038,1.132158162
P25444,ctrl,9.208933034,0.964209315,O70133,iso,3.117187574,0.964209315,0.493762936,Q7TSQ8,CaNrf2-TG,13.54861573,1.131894925
Q9DCV4,ctrl,9.208933034,0.964209315,Q60749,iso,3.117187574,0.964209315,0.493762936,P17742,CaNrf2-TG,13.53261254,1.131381647
P47753,ctrl,9.186597844,0.963154705,Q9CYZ2,iso,3.124043631,0.963154705,0.494717091,P62242,CaNrf2-TG,13.53248044,1.131377408
P62270,ctrl,9.171828492,0.962455925,Q00898,iso,3.125769408,0.962455925,0.494956936,P35979,CaNrf2-TG,13.53248044,1.131377408
Q8K183,ctrl,9.164431319,0.962105521,P60229,iso,3.138720464,0.962105521,0.496752639,Q9Z2I8,CaNrf2-TG,13.50032488,1.13034422
P50516,ctrl,9.164370735,0.96210265,Q8CDN6,iso,3.144808224,0.96210265,0.497594166,P97461,CaNrf2-TG,13.50032488,1.13034422
Q6NSR8,ctrl,9.164370735,0.96210265,Q6P1B1,iso,3.158795722,0.96210265,0.499521541,P62962,CaNrf2-TG,13.46845263,1.129317703
Q91VW3,ctrl,9.164370735,0.96210265,Q922R8,iso,3.162319274,0.96210265,0.500005715,P31001,CaNrf2-TG,13.45237706,1.128799032
P26883,ctrl,9.153297466,0.961577576,Q61553,iso,3.165850696,0.961577576,0.500490429,P12367,CaNrf2-TG,13.43647005,1.128285188
P09041,ctrl,9.142250924,0.961053137,A2AQ25,iso,3.167615747,0.961053137,0.500732493,Q8R238,CaNrf2-TG,13.43647005,1.128285188
O08709,ctrl,9.120237636,0.960006154,Q9ET26,iso,3.176470607,0.960006154,0.501944841,Q8BH64,CaNrf2-TG,13.38897393,1.126747296
Q7TPR4,ctrl,9.120237636,0.960006154,Q9EQK5,iso,3.194344402,0.960006154,0.504381738,Q80UG5,CaNrf2-TG,13.37321643,1.126235873
P09542,ctrl,9.094629411,0.958785007,Q80VP1,iso,3.1997414,0.958785007,0.505114881,P97823,CaNrf2-TG,13.35749596,1.125725052
P20152,ctrl,9.092899475,0.95870239,P09405,iso,3.206973249,0.95870239,0.506095337,Q07076,CaNrf2-TG,13.34964958,1.125469866
Q922E6,ctrl,9.091050962,0.958614092,P54728,iso,3.212413041,0.958614092,0.50683138,Q9JLN9,CaNrf2-TG,13.29498198,1.123687753
P61089,ctrl,9.076527565,0.957919731,Q8R5C5,iso,3.212420485,0.957919731,0.506832387,Q9D7N3,CaNrf2-TG,13.27944481,1.123179918
Q01768,ctrl,9.076468138,0.957916887,P97461,iso,3.216057295,0.957916887,0.507323777,A2AMM0,CaNrf2-TG,13.27168983,1.122926223
P47740,ctrl,9.062050498,0.957226478,Q8BH04,iso,3.216057295,0.957226478,0.507323777,P48758,CaNrf2-TG,13.2639439,1.122672677
O35206,ctrl,9.047560491,0.956531495,Q6GQT9,iso,3.21787132,0.956531495,0.507568673,Q9Z2G9,CaNrf2-TG,13.24847915,1.122166027
P53026,ctrl,9.036767539,0.956013111,Q61990,iso,3.219702348,0.956013111,0.507815724,P19157,CaNrf2-TG,13.2329241,1.121655821
P61922,ctrl,9.018895069,0.955153334,Q99LR1,iso,3.223355673,0.955153334,0.508308229,Q811I0,CaNrf2-TG,13.22522334,1.121403015
Q9D020,ctrl,9.015258702,0.954978194,Q8R361,iso,3.228851232,0.954978194,0.509048036,Q9DCU6,CaNrf2-TG,13.21765757,1.121154496
P84104,ctrl,9.004484146,0.954458838,P32020,iso,3.239906332,0.954458838,0.510532455,Q9CQ60,CaNrf2-TG,13.18685363,1.120141186
Q80Y14,ctrl,9.004484146,0.954458838,P22599,iso,3.24176253,0.954458838,0.510781198,Q8BHN3,CaNrf2-TG,13.18685363,1.120141186
Q9D8Z2,ctrl,8.997354334,0.954114824,P70670,iso,3.24176253,0.954114824,0.510781198,P55264,CaNrf2-TG,13.17920638,1.119889259
Q62407,ctrl,8.990235805,0.953771083,O08795,iso,3.245466117,0.953771083,0.511277079,P56395,CaNrf2-TG,13.15631778,1.119134355
P47962,ctrl,8.961873973,0.952398832,P18872,iso,3.245466117,0.952398832,0.511277079,Q8K1B8,CaNrf2-TG,13.15619293,1.119130234
P48771,ctrl,8.940719756,0.951372482,Q91VU6,iso,3.245466117,0.951372482,0.511277079,Q8BGA8,CaNrf2-TG,13.08800296,1.116873384
P28474,ctrl,8.92667234,0.950689594,Q9WVJ3,iso,3.252898738,0.950689594,0.512270544,Q7TQ95,CaNrf2-TG,13.07294551,1.116373451
P10649,ctrl,8.905626577,0.949664481,P62869,iso,3.25662783,0.949664481,0.51276813,P17563,CaNrf2-TG,13.05804568,1.115878183
Q9JMH6,ctrl,8.888268573,0.948817169,Q8BG05,iso,3.260365481,0.948817169,0.513266286,Q9DCD0,CaNrf2-TG,13.05792268,1.115874093
Q8VCR7,ctrl,8.8778521,0.948307906,Q9DCM0,iso,3.260365481,0.948307906,0.513266286,Q80YS6,CaNrf2-TG,13.0504242,1.115624629
P57784,ctrl,8.864001388,0.947629815,O35226,iso,3.261301235,0.947629815,0.513390915,Q64442,CaNrf2-TG,13.03545305,1.11512613
Q3U0B3,ctrl,8.857092227,0.947291167,Q8CIN4,iso,3.267881988,0.947291167,0.514266365,P21550,CaNrf2-TG,13.00561356,1.114130846
Q9Z0S1,ctrl,8.843249754,0.946611891,Q99P72,iso,3.269754965,0.946611891,0.514515208,Q9D8N0,CaNrf2-TG,13.00561356,1.114130846
