uniprot,group,half_life,log_10_HL
P54071,ctrl,19.50604138,1.290169141
Q9DCS9,ctrl,19.44775558,1.288869488
Q8K370,ctrl,19.17684827,1.282777232
Q9CR62,ctrl,19.16041521,1.282404916
Q9CR61,ctrl,19.15247383,1.282224878
Q99LB2,ctrl,19.14453904,1.282044914
P82347,ctrl,19.1123385,1.281313829
P67778,ctrl,19.0482613,1.27985534
Q03265,ctrl,18.93689535,1.277308779
P55772,ctrl,18.92913814,1.277130841
Q91VM9,ctrl,18.88993243,1.276230404
Q9DCW4,ctrl,18.87398722,1.275863657
Q8BMS1,ctrl,18.79619222,1.274069878
Q9CXJ4,ctrl,18.79619222,1.274069878
Q91WS0,ctrl,18.75728092,1.273169883
P02469,ctrl,18.7185304,1.272271749
P00848,ctrl,18.70287312,1.271908328
P03930,ctrl,18.68774583,1.271556919
Q8R127,ctrl,18.68774583,1.271556919
Q8VE95,ctrl,18.67239149,1.271199944
Q99MN9,ctrl,18.65706235,1.270843263
P35486,ctrl,18.64175837,1.270486874
Q60931,ctrl,18.64175837,1.270486874
Q8K4F5,ctrl,18.61097574,1.269769143
P54731,ctrl,18.58054364,1.269058417
P63038,ctrl,18.51997704,1.267640444
Q9WUR2,ctrl,18.41493021,1.265170077
P19783,ctrl,18.40735024,1.264991276
Q9CR21,ctrl,18.31106833,1.262713683
Q8CG76,ctrl,18.28160835,1.262014401
Q60930,ctrl,18.25224301,1.261316242
Q8BIJ6,ctrl,18.10682011,1.257842187
Q91ZA3,ctrl,18.04929773,1.256460309
Q99KI0,ctrl,17.97767353,1.254733489
P15331,ctrl,17.89274841,1.252677055
Q8BK30,ctrl,17.86461806,1.251993735
Q9CXS4,ctrl,17.85035617,1.251646886
Q9DC69,ctrl,17.81548772,1.250797716
Q71LX4,ctrl,17.78782782,1.250122917
Q8CAK1,ctrl,17.76685456,1.249610547
Q9CQZ5,ctrl,17.76662687,1.249604981
P97450,ctrl,17.75979863,1.249438037
P00405,ctrl,17.73911837,1.248932032
Q9JHW2,ctrl,17.72505608,1.248587618
Q71RI9,ctrl,17.69767606,1.247916241
P08228,ctrl,17.64271993,1.24656554
Q99JR6,ctrl,17.58788091,1.245213516
Q3UN90,ctrl,17.56092272,1.244547332
P35505,ctrl,17.54048082,1.244041494
P59017,ctrl,17.49973947,1.243031583
Q9CZL5,ctrl,17.49311479,1.242867146
Q8QZT1,ctrl,17.40613682,1.240702393
Q5IRJ6,ctrl,17.39914606,1.240527934
P48678,ctrl,17.37254519,1.23986345
Q8BFR5,ctrl,17.33301277,1.238874057
Q91VD9,ctrl,17.33301277,1.238874057
Q0II04,ctrl,17.28029469,1.237551144
Q9CZS1,ctrl,17.28029469,1.237551144
Q9Z2I9,ctrl,17.24075168,1.236556197
Q9DCT2,ctrl,17.22768223,1.236226852
O55126,ctrl,17.20181612,1.235574301
Q9DCZ4,ctrl,17.20160267,1.235568912
P52430,ctrl,17.09785843,1.232941717
Q8BH86,ctrl,17.07217016,1.232288731
Q91V12,ctrl,17.0210245,1.230985697
Q8K3J1,ctrl,16.99556641,1.230335643
Q9CQX8,ctrl,16.94487803,1.229038447
Q99J39,ctrl,16.91964705,1.228391299
Q91WK5,ctrl,16.86940983,1.227099889
P47791,ctrl,16.82559425,1.225970412
Q9CPP6,ctrl,16.78850923,1.225012134
P53395,ctrl,16.65898819,1.22164862
Q8K2C6,ctrl,16.65898819,1.22164862
Q9D0L4,ctrl,16.64698546,1.2213356
Q924D0,ctrl,16.58623803,1.219747894
O35855,ctrl,16.45414187,1.216275238
Q7TMF3,ctrl,16.43035012,1.215646818
Q91WD5,ctrl,16.43035012,1.215646818
Q9D7J9,ctrl,16.38277882,1.214387568
Q91YP0,ctrl,16.38258522,1.214382436
Q99LC3,ctrl,16.38258522,1.214382436
Q9D6U8,ctrl,16.32394095,1.212825015
P63030,ctrl,16.31203211,1.212508068
Q9D6J6,ctrl,16.30627601,1.212354789
P42669,ctrl,16.20733455,1.209711597
Q9Z2I0,ctrl,16.1957844,1.209401987
Q9D172,ctrl,16.17273339,1.208783427
P52825,ctrl,16.05845567,1.205703777
Q5SWT3,ctrl,16.03579365,1.205090459
Q923D2,ctrl,15.96818975,1.203255685
Q9D8B4,ctrl,15.9457816,1.202645812
Q3TC72,ctrl,15.84553723,1.199906968
P99029,ctrl,15.83467768,1.199609227
Q3ULD5,ctrl,15.81264242,1.19900445
Q9D7X8,ctrl,15.79066841,1.198400514
Q9EQ20,ctrl,15.77952468,1.198093917
Q9DCM2,ctrl,15.72475455,1.196583875
Q8R4N0,ctrl,15.64913599,1.194490365
Q791V5,ctrl,15.53131777,1.191208305
P00416,ctrl,15.44686517,1.188840356
Q9WUR9,ctrl,15.44686517,1.188840356
P45377,ctrl,15.43637312,1.188545268
Q8BMS4,ctrl,15.36332603,1.186485247
Q64433,ctrl,15.3373202,1.185749485
Q9CZ42,ctrl,15.30109338,1.184722466
Q9QZQ8,ctrl,15.29079836,1.184430161
Q9WTR5,ctrl,15.24472553,1.18311961
Q99MR8,ctrl,15.23969792,1.182976359
Q9D1R9,ctrl,15.19892952,1.181813001
Q9WVL0,ctrl,15.19892952,1.181813001
P41216,ctrl,15.08776867,1.178625017
Q9ES82,ctrl,15.05761477,1.177756182
Q9D1I5,ctrl,15.01781347,1.176606706
P26443,ctrl,15.007896,1.176319811
Q8K2Y7,ctrl,14.99799162,1.176033107
P97478,ctrl,14.93883878,1.17431684
P56501,ctrl,14.84128084,1.171471383
P10493,ctrl,14.84112196,1.171466734
P11404,ctrl,14.82192196,1.170904522
Q9CXZ1,ctrl,14.82192196,1.170904522
O35658,ctrl,14.80735683,1.170477542
Q8K2B3,ctrl,14.78335531,1.169773015
Q60759,ctrl,14.77374499,1.169490598
Q8CC86,ctrl,14.76414715,1.169208365
P50247,ctrl,14.72588019,1.168081263
P17095,ctrl,14.7161882,1.167795333
Q99N92,ctrl,14.66885024,1.166396075
Q9JHI5,ctrl,14.66885024,1.166396075
Q3V384,ctrl,14.6499383,1.165835796
Q5F285,ctrl,14.6499383,1.165835796
P16546,ctrl,14.64978348,1.165831206
Q6P3A8,ctrl,14.62150742,1.164992149
Q62425,ctrl,14.61195229,1.164708245
Q78IK2,ctrl,14.59334029,1.16415471
Q9D1N9,ctrl,14.59318667,1.164150138
Q8BL65,ctrl,14.53717792,1.162480106
Q6P8J7,ctrl,14.48159745,1.160816471
Q99JB2,ctrl,14.45396629,1.159987038
Q8K1Z0,ctrl,14.3354397,1.156411018
P45952,ctrl,14.31737716,1.155863466
P97823,ctrl,14.28138829,1.154770427
Q8C5H8,ctrl,14.24557989,1.153680133
Q9CZR8,ctrl,14.21884121,1.152864204
Q9ESD7,ctrl,14.2099506,1.152592568
P10639,ctrl,14.19220271,1.152049806
Q80XN0,ctrl,14.12165228,1.149885514
P85094,ctrl,14.08649631,1.148802986
Q60870,ctrl,13.96516865,1.145046185
P17710,ctrl,13.90549442,1.143186435
Q3TLP5,ctrl,13.82920036,1.140797069
P04247,ctrl,13.81239026,1.140268841
Q64727,ctrl,13.70397747,1.136846636
P08032,ctrl,13.67113755,1.135804653
O09174,ctrl,13.66291848,1.135543477
P07356,ctrl,13.6545748,1.135278181
Q9CPX7,ctrl,13.63014081,1.134500342
P30275,ctrl,13.59725328,1.133451187
Q9DC07,ctrl,13.57701174,1.132804194
Q9D0S9,ctrl,13.55683038,1.132158162
P82350,ctrl,13.54861573,1.131894925
