ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,os_log_10_HL
P61255,ctrl,21.34895451,1.329376612,Q76LL6,iso,1.301875543,0.114569469
P48772,ctrl,21.29909753,1.328361202,Q61703,iso,1.307872989,0.11656557
P56480,ctrl,21.23938044,1.327141844,O89017,iso,1.313925948,0.118570889
Q8CAQ8,ctrl,21.22897248,1.326928974,Q9DAW9,iso,1.323727077,0.121798453
Q9CR68,ctrl,21.12062345,1.324706734,Q91VW5,iso,1.32744094,0.123015208
P42125,ctrl,21.0424001,1.323095274,Q01815,iso,1.32868268,0.123421274
Q9CQ91,ctrl,20.9261455,1.320689241,Q80XB4,iso,1.32868268,0.123421274
Q60932,ctrl,20.90689451,1.320289528,Q8CCF0,iso,1.329929298,0.123828553
P97807,ctrl,20.88736419,1.319883639,Q9CRA5,iso,1.338708624,0.126686061
P99028,ctrl,20.8490399,1.319086061,Q7TPV4,iso,1.346324674,0.129149805
Q61941,ctrl,20.83024344,1.318694345,O35143,iso,1.351451245,0.130800383
Q9QXX4,ctrl,20.79212828,1.317898946,Q9QYS9,iso,1.351451245,0.130800383
Q07417,ctrl,20.79181644,1.317892432,Q61704,iso,1.372356706,0.137467009
Q7TQ48,ctrl,20.77281169,1.317495284,Q63810,iso,1.375015112,0.138307471
Q3UIU2,ctrl,20.74452483,1.316903492,Q921M4,iso,1.39118577,0.143385127
Q9QYR9,ctrl,20.71631491,1.316312504,Q99J36,iso,1.404954973,0.147662406
P02468,ctrl,20.71600534,1.316306014,Q9CQI3,iso,1.404954973,0.147662406
Q921G7,ctrl,20.71600534,1.316306014,P28653,iso,1.411940855,0.149816505
P03888,ctrl,20.69713886,1.315910314,Q5U430,iso,1.416166988,0.151114466
Q61292,ctrl,20.69713886,1.315910314,Q60875,iso,1.424695606,0.153722085
P43024,ctrl,20.5751868,1.313343787,Q9D1K2,iso,1.424695606,0.153722085
Q8BWT1,ctrl,20.55657583,1.312950775,P46935,iso,1.427559393,0.154594186
P52196,ctrl,20.4915503,1.311574817,Q9CWM4,iso,1.446470424,0.160309558
Q9CQ62,ctrl,20.4915503,1.311574817,Q8BJU0,iso,1.450904594,0.161638856
Q3TBW2,ctrl,20.45466346,1.310792338,Q99MS7,iso,1.452389712,0.162083164
O70423,ctrl,20.41790917,1.310011268,Q8BI84,iso,1.459856532,0.164310177
Q7TNS2,ctrl,20.30843458,1.307676448,Q62318,iso,1.463620352,0.16542844
Q9QYA2,ctrl,20.20012766,1.305354114,P62627,iso,1.467403629,0.166549589
P56213,ctrl,20.14611348,1.304191276,Q9CQW1,iso,1.468921177,0.166998492
Q8VEM8,ctrl,20.09296984,1.303044132,P11152,iso,1.478099096,0.169703551
Q8R404,ctrl,20.05750277,1.302276861,Q9CZ83,iso,1.478099096,0.169703551
Q9D6J5,ctrl,19.99126629,1.300840304,Q9DBN5,iso,1.478099096,0.169703551
P47934,ctrl,19.98694292,1.300746372,Q9QXC1,iso,1.481181832,0.170608376
Q8VD26,ctrl,19.95184884,1.299983146,Q148W8,iso,1.482731198,0.171062426
P12787,ctrl,19.91687778,1.299221258,Q8VCG4,iso,1.490514087,0.173336085
Q8R1S0,ctrl,19.89943818,1.298840815,O35841,iso,1.513557285,0.179998863
P11688,ctrl,19.89915254,1.298834581,P46412,iso,1.51436579,0.18023079
Q9Z2Z6,ctrl,19.89058714,1.298647603,A2AGT5,iso,1.532345252,0.185356627
Q505D7,ctrl,19.88174396,1.298454477,O35074,iso,1.532345252,0.185356627
Q9DCM0,ctrl,19.85583032,1.297888053,Q8CBA2,iso,1.535662068,0.186295657
P03921,ctrl,19.82970049,1.297316155,P54823,iso,1.541498607,0.187943137
Q99LY9,ctrl,19.77821094,1.296187004,Q61207,iso,1.569621436,0.195794921
Q9D7B6,ctrl,19.77821094,1.296187004,Q8VCI5,iso,1.578347711,0.198202685
Q9ERS2,ctrl,19.76918546,1.295988776,Q61187,iso,1.590728414,0.201596039
Q99LC5,ctrl,19.67519211,1.293918982,Q5DTJ9,iso,1.596094614,0.203058632
Q8QZS1,ctrl,19.65817302,1.293543153,Q8K4B0,iso,1.596094614,0.203058632
