mouse_group,half_life,condition,,,,,,,,,,,,,,,,,,,,,,,
Balbc,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
Balbc,19.57324092,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
Balbc,15.9457816,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
Balbc,7.475299871,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
Balbc,9.779992389,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
Balbc,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
Balbc,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
Balbc,21.21435355,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
Balbc,14.88015071,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
Balbc,17.22789632,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
Balbc,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
Balbc,17.49311479,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,12.3079564,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,18.31106833,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,24.29452808,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,21.64394006,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,13.81239026,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,6.79542735,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,17.46622604,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,9.231438567,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,20.21839339,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,17.96369617,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,16.20733455,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,16.13827966,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,23.26231435,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,4.749307492,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,4.238771204,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,15.79066841,ISO,,,,,,,,,,,,,,,,,,,,,,,
Balbc,10.08837726,ISO,,,,,,,,,,,,,,,,,,,,,,,
